Position,Experience,Company,Location,Date,Details
Python developer,greater that 5 years,QArea,віддалено,22 серпня,"We are looking for a Senior Python developer to join our team to work on the MVP of the SaaS platform in the fintech domain. Employment Type:  Freelance Duration and workload : approximately ten weeks full-time. Recruitment Process:  Pre-screening followed by an internal technical interview Client Information: Based in the USA Large company with 8000 employees Industry: FinTech  Project: SaaS for cash flow management, budget tracking, and optimization. The product will replace and optimize tasks typically done in Excel, such as tracking expenses on office supplies, forecasting costs, and more. Project Requirements: The app should offer direct forecasting and reporting on cash flow, divided into expenses and detailed future projections. Expense tracking by category, including client receipts, material costs, payroll, and rent. Future cash flow forecasts are compiled from various information sources, such as receivables and payables reports, financial projections, production volume analysis, operational costs, and client-level sales forecasts. Deviation reports are sent weekly to stakeholders, including management, the board of directors, and creditors. Preferred Experience: Experience developing applications similar to Excel in functionality and within the FinTech domain. Ideal Candidate Qualifications: Experience with Python (Django) Hands-on experience with  GCP  or  AWS  cloud platforms. Experience with Docker"
Python Senior Software Engineer,greater that 5 years,Windsor.ai,віддалено,23 серпня,"Windsor.ai  is connecting all of the worlds data. Company We are building a platform that makes it easy to connect any data source to any destination. There is more data being generated in the world every day, but the big problem is that the number of tools are also increasing so data has to be updated in multiple systems and tools. We are solving this problem. Windsor.ai  has been founded in 2017 in Zürich Switzerland. Now we have ca. 2500 paying customers, we are growing 80% per year and are profitable. Our customers include Puma, Audi, UBS, Asics and many more. In the team we are around 15 persons working remotely, mostly from Europe. We are a very technical team and also sales and marketing everyone can write at least some SQL. Software engineers specialize in backend with python and frontend with react. Product We have built a data platform connecting to more than 300 different API’s. Big part of our work is dealing with all the complexity and variations in all the different API’s and scalability. Technology We are mostly programming in python and using quite advanced features of python. Most common tools we use: python : flask, threads, pytest-xdist Redis, postgres Linux, docker React, redux for frontend For Software developers we typically look for 4+ years of programming experience. Good programming knowledge (OOP, mutable/immutable types etc.) Like to work in a flat fast moving environment where you can have an impact How we work We usually plan our work in two weeks intervals but the plan is not strict so there might be some priorities changed during the sprint. We use Taiga, Gitlab, CI/CD and merge request reviews. Video about our culture:"
"Backend Python Developer (Remote, Contract)",greater that 5 years,INFUSE,віддалено,23 серпня,"As a Back-end developer at  INFUSE , you’ll write clean, maintainable, and performance  Python  code and work with our product team to create great products for our customers. You’ll be involved in the entire product lifecycle including the design, development, deployment, and maintenance of new and existing features. You’ll also produce detailed specifications. Your code will be written in a timely and scalable way all while ensuring strong optimization. Ultimately, your work will impact the code base of our products meaningfully. Skills/Requirements:  Expertise in writing clean and efficient  Python  code .   Familiarity with  Django, Flask , and other Python frameworks/libraries Experience with front-end technologies like  React.js, HTML, CSS, and Javascript . Design and implementation of robust and scalable APIs. Experience with  relational databases  (e.g. PostgreSQL) and optionally NoSQL (e.g. MongoDB, Redis). Experience with AWS & Kubernetes is nice to have. Experience with Enterprise Confluent Kafka clusters including multi-region broker setup, clustering, Mirror Maker, Replication, Kafka Connect, Kafka Streams, ksqlDB, etc are nice to have. Conduct and participate in code reviews, ensuring high-quality code. Have great communication and problem-solving skills. Have min 5+ years of experience building scalable backend services. Have at least a bachelor’s degree in computer science, information technology, programming or another related field. Certification in computer programming could work too. Self-study or online courses are a plus. Good command of English is expected. Responsibilities: Write, test, and maintain high-quality code. Participate in code reviews, providing feedback to other team members to maintain code quality and consistency. Work on implementing new features, fixing bugs, and ensuring that the software functions as intended. Collaborating with the product/project team to work towards achieving the company’s and team’s goals. Contribute to technical decisions and strategy to further the long-term product vision. Design and implement web applications on Python + React.js . Implement server side logic to process frontend inputs. Identify and fix bugs that are found within code. Interact with SQL and noSQL databases. Ensure all inputs going to a database have been parameterized. Ensure the appropriate security standards have been implemented. Ensure you’ve written unit test cases to verify code is performing as expected and to prevent possibly security breaches. Create written documentation for the different components. Work under agile methodologies"
Python Back End Engineer,greater that 5 years,MWDN,віддалено,25 серпня,"MWDN company is looking for a self-motivated and goal-oriented Python Back End Engineer who would like to be a part of a team working on brand-new startup projects for foreign customers. We Offer: People-oriented management without bureaucracy The friendly climate inside the company is confirmed by the frequent comeback of previous employees Flexible working schedule 29 paid time off (18 working days per year, plus 11 days — all national holidays) 10 sick leave days Full financial and legal support for private entrepreneurs Free English classes with native speakers or with Ukrainian teachers (for your choice) Dedicated HR  Responsibilities: Work closely with other stakeholders in the company to resolve issues, design and deliver features, and improve and evolve our product Influence — take part in day-to-day discussions on the direction, design, and architecture of our product End-to-end development of software components, constantly re-inventing and improving our infrastructures and tech stack to meet our scale expectations from an engineering standpoint The ability to create technical designs for complex problems Assist other team members with code and design reviews and provide constructive feedback  Be a part of a team of passionate, hardworking, and super-professional Back End developers Gain a deep, wide, and solid understanding of the World Wide Web (Surface, Deep and Dark parts)  Improve and promote our innovative tech stack — play and asses tools we should adopt  Work in, out, and around AWS Requirements: At least 5 years of experience in developing complex backend systems At least 3 years of proficiency in Python (production environment) Experience working with AWS (EC2, S3, Lambda, Streaming, EMR, EKS) Experience working with ElasticSearch, MongoDB, Redis Skilled in Kubernetes and Docker Demonstrated ability to produce high-performance, maintainable, and reusable code Expertise in high-level design and architectural practices Agile methodology practitioner Experience in a Production SaaS environment Strong command of Linux environments At least an upper-intermediate level of English About the project: Contribute to making online business transactions more secure by leading the charge in cybersecurity innovations. Become part of our client’s professional team, where collaboration and creativity are vital to defending against cyber threats. By joining their ranks, you’ll have the opportunity to grow your cybersecurity career. You’ll gain experience with state-of-the-art SIEM/SOAR technology, receive mentorship from industry leaders, enhance your customer interaction skills, and contribute to a culture that celebrates diversity and inclusivity. Our next steps: ✅ Intro call with a Recruiter — ✅ Client intro interview — ✅ Client tech interview (with live-coding) — ✅ Client management interview — ✅ Client HR interview — ✅ Reference check — ✅ Offer Who We Are:   Website : more about us and vacancies Instagram : follow MWDN’s life Facebook : follow our FB Feel free to contact us without any hesitation!"
Python Tech Lead,greater that 5 years,S-PRO,віддалено,26 серпня,"S-PRO, a top-tier Digital Innovation and Software Engineering company, is seeking a Tech Lead. We specialise in providing cutting-edge services for fast-growing businesses and enterprises, with a strong focus on Finance, Renewable Energy and Healthcare domains and expertise in AI, Blockchain and Data Science. Our team of over 200 dedicated professionals works tirelessly across our global offices to develop innovative digital solutions that drive sustainable business value and increase our client’s competitiveness in a dynamic digital landscape. We are looking for an experienced Python Tech Lead to join our team! Responsibilities: Participation in presale activities, including workshops with clients, solution design, scoping, and estimation Technical ownership of discovery phases of new projects Conducting technical interviews for new projects Onboarding development teams into new projects Providing development team support through planning and grooming activities, technical validation of tasks, and handling escalations Controlling efficient development across teams using KPIs and OKRs related to team performance Reporting to the COO and CTO Requirements: Upper Intermediate+ English level 5+ years of Full Stack Development experience, including 2+ years of leading teams (React and Python stack) Proficiency in Python and its main frameworks (Django, Flask, FastAPI) Experience designing the architecture of software systems Profound knowledge and experience with the AWS cloud stack Experience working with KPIs and OKRs Strong communication skills with project clients Will be a plus: Knowledge of other languages (JS, Java, C++, etc.) Commercial experience in presale activities Commercial experience in management (engineering management or project management) Experience in cross-platform mobile development (Flutter or React Native) Familiarity with DevOps practices and CI/CD pipelines Experience with Agile methodologies and tools like JIRA or Trello What we offer: — Long team focus:  we create an environment of transparent communication, and minimal bureaucracy, which leads to long-term relationships; — Development of niche expertise:  we are working in several niches, such as FinTech, healthcare, and logistics. Therefore, our employees can develop their own expertise in these domains. — Continuous learning:  we create employee development plans / personal roadmaps /quick promotion processes; — Internal career development:  80% of our current executives were promoted to those positions within S-PRO. We encourage initiative. If a person wants to set new challenges and grow, we will definitely support them. Benefits and perks : — Flexible schedule : you can start the workday at any time from 8 to 11 in the morning; — Remote work model : decide where you want to work: from your cozy home, or anywhere else; — Medical insurance : all our employees who have passed the probationary period are now registered in our health insurance program; — Paid vacations : we need to ensure that our employees regularly take vacations and don’t overwork."
Python UAV Developer (Only Kyiv location),greater that 5 years,Quantum,,27 серпня,"Must have skills: Proficiency in programming languages commonly used for UAV navigation applications, such as Python (C++ or Golang is a plus); experience with Python development frameworks and libraries Understand and implement navigation algorithms specific to UAVs, including but not limited to path planning and obstacle avoidance algorithms; GPS-based navigation and geospatial data processing; inertial navigation systems (IMU) integration  Familiarity with UAV flight control systems and protocols, such as PX4 and ArduPilot Understanding of geospatial data formats, GIS (Geographic Information Systems), and the ability to process and analyze geospatial data for navigation and mapping purposes Working experience with microcontrollers and microcomputing (such as Jetson, Raspberry Pi, etc.) The capability to interface with and integrate various sensors and peripherals on UAVs, including cameras, lidar, GPS receivers. Strong problem-solving skills to address technical challenges and troubleshoot issues that may arise during UAV navigation software development Experience with profiling of multiprocess and multithreaded applications Knowledge of security approaches and skills to work with NDA projects At least an Upper-Intermediate level of English (spoken and written) Nice to have skills: Bachelor’s or Master’s degree in Aerospace, Computer Science, Electrical or Computer Engineering, Robotics, or a related field Knowledge of remote sensing technologies and data transmission protocols for real-time monitoring and control of UAVs As we are working on autonomous decision-making, understanding the core principles of integration is required Experience in simulating UAV environments and conducting thorough testing to ensure the reliability and safety of navigation systems(Airsim, Gazebo, UnrealEngine would be a plus) Your tasks will include: Integrate algorithms and UAV Taking part in test flights Working on solution optimization and speed up Adapting the solution to different boards Pipeline creation and automation Work on system security Benefits: Developing cutting-edge software solutions to tackle genuine challenges Collaborating with experienced professionals who share a common goal Full-time, working day from 09:00 to 18:00 Work in an office in the suburbs of Kyiv, transfer from the subway Official registration and working conditions according to the legislation of Ukraine Possibility of reservation Conscripts must have any military registration document, even an expired one About the company and project: The position opened to a client-partner international company specializing in defense technologies with offices in Ukraine and Germany. They excel at designing robust solutions that significantly enhance autonomy and reliability in navigational systems for Unmanned Aerial Vehicles operations. We are looking for a person who specializes in developing UAVs navigation applications. This person should combine expertise in software development with a deep understanding of UAV technology and navigation principles, as well as be aware of DS approaches in general."
Senior Python Developer,greater that 5 years,Agiliway,"Львів, Івано-Франківськ, Чернівці",29 серпня,"Our team is looking for a result-oriented and proactive Senior Python Developer to collaborate on product development for our client based in the United Kingdom. The platform is an online service for quality assurance and calibration of MRI data.  Requirements:   5+ years’ experience in back-end development  Experience with Django REST Framework  Experience with PostgreSQL database  Familiar with Celery, Redis  Experience with Health would be a plus  Experience with DICOM and NIfTI medical imaging data  Problem-solving skills and ability to think outside the box  Upper-Intermediate level of English or higher  Responsibilities:   Participate in solution design and development, deliver high-quality code  Regularly communicate with the team members, participate in status meetings, design sessions, and brainstorming  Provide estimation and reporting of assigned tasks  Code review  We offer friendly working conditions with competitive compensation and benefits including:   Comfortable working environment  Friendly team and management  Competitive salary  Free English classes  Regular performance-based compensation review  Flexible working hours  100% paid vacation, 4 weeks per year  100% paid sick-leaves  Medical insurance (50% is paid)  Corporate and team building event"
Python Software engineer (KYC),greater that 5 years,SoftConstruct Ukraine,віддалено,28 серпня,"SoftConstruct Ukraine  is a large product company with Armenian roots. We develop solutions in the fields of Big Data, Data Science and CryptoExchange. We combine our expertise in iGaming software development with advanced technologies to develop original software such as sports statistics, risk analysis, security. In most cases, we deal with atypical projects for the market, try to find and generate new technology-based solutions in our field. We support our colleagues who actively participate in all spheres of our country’s defense, as well as help in the development of solutions, technical security support — the information sector of the state. We are ready to offer work for IT specialists who need it. If you are looking for a job in a  Python   development and have relevant experience, we would be more than happy to offer you our position of  Python Software Engineer . About the project:   We are the challenging computer vision project: the risk management solution which automatically validates the information about the user.  The product, based on advanced techniques of computer vision and data science. Application of neural networks makes it easy to determine the use of a photo editor, automatically process user data and compare it with the input data. Our solution with automatic verification of users in various types of business, based on Computer Vision and digital solutions in the field of document sharing (DIIA, BankID, etc.) and open registers. We currently process over 40,000 verifications every month.  We see the potential for the company’s business account to grow to a 1 million verifications per month. About your future team: We already have 15 people in our team and we want to empower the team by hiring a specialist who will be involved in existing project. Technical Stack:   Python, Django, Django Rest Framework, Celery, PostgreSQL, Redis, Docker, SQL. Main responsibilities:   — Use your knowledge of technology and operational best practices to drive the design, development, and implementation of web application that enables highly available, scalable and reliable customer experiences; — Propose and advocate technical improvements of the product on the architectural and code level; — Work closely with ML, Frontend, DevOps and Design teams; — Mentor less experienced members of the team; — Define, design and implement different API/data integrations based on business needs and requirements. Must-haves:   — 4+ years of professional experience as a Python Engineer; — Expertise in utilizing Message Brokers; — Strong expertise in unit testing and applying code testing methodologies; — Strong familiarity with Docker and Docker Compose; — A passion for understanding the inner workings of systems and a willingness to share knowledge with peers; — Direct involvement in the development and testing of backend systems and pipelines, as well as collaborative support for services; — A hands-on approach to building secure, reliable, and scalable web applications, with effective communication skills within a team. Nice to haves:   — Experience with contemporary monitoring tools such as Prometheus, Grafana, Sentry; — Experience with the design and implementation MLOps; — Competence in working with NoSQL databases; — ML or Data Engineering experience. What can we offer you: Interesting and challenging work in a product and data driven company; Plenty of opportunities to learn, grow and progress in your career; Annual leave: 20 working days per year; All paid sick days with a doctor’s note (no limit on the number of times. But for 1 time it is paid up to 2 weeks); Registration within DiiaCity (Gig-contract); Individual English classes at EnglishDom online school (compensation within 50% of the amount of expenses); €450 / year budget for training and / or sports (compensation within 50% of the amount of expenses) after probationary period; Free health insurance after a probationary period. Sounds interesting? Then apply now, don’t wait up! SoftConstruct is a cool place to work, where you’ll have fun, make friends, and grow professionally."
Senior Python Software Engineer (240002UQ),greater that 5 years,Ciklum,"Київ, Львів, Дніпро, Вінниця, віддалено",29 серпня,"Ciklum  is looking for a  Senior Python Software Engineer  to join our team full-time in Ukraine. 

 We are a custom product engineering company that supports both multinational organizations and scaling startups to solve their most complex business challenges. With a global team of over 4,000 highly skilled developers, consultants, analysts and product owners, we engineer technology that redefines industries and shapes the way people live. 

 About the role: 

 As a Senior Python Software Engineer, become a part of a cross-functional development team engineering experiences of tomorrow. 

 Our Client is a privately held technology company focused on artificial intelligence and deep learning computing infrastructure, data storage, specifically flash memory. Founded in 2016, the company offers a data computing platform that allows users to train AI models by storing and synthesizing large amounts of unstructured data. There is growing customer base includes Booking Holdings, US Air Force, US Department of Energy, Verizon, Boston Children’s Hospital, Pixar, and Zoom. 

 The company has more than 700 employees worldwide and is actively expanding into new regions in Asia Pacific, the Middle East, and Europe. 

 The team thrives in an informal and collaborative environment where team members are encouraged to grow beyond the confines of their job description or role. 

 Technology Stack:  

 	 Python 3.9, their code is running inside a container over Linux environment 	 API Development, HTTP, REST 	 Databases, SQL 	 AWS 	 Networking, Storage 	 Virtualization, Containerization, Docker 	 Git  

 Responsibilities: 

 	 Design, build and set up development tools and infrastructure for use by the various teams in the R&D organization 	 Among the different tools:  	 		 Test infrastructure used by the QA (the product is a cluster composed of different components and infrastructure encapsulates them, tracking their state, exposing different APIs to communicate with them, etc.) 		 Maintain and develop API and interfaces facing the company storage product + different cloud providers 		 VM orchestration 		 Collaborate with other teams to improve the productivity of the entire R&D organization 	 	 	 Deal with diverse technologies and domains: Docker, Git, Python, Linux, KVM (VM orchestration) 

 Requirements: 

 	 5+ years of Python development experience (Object Oriented programming) 	 2+ years of experience working on Linux platform, be comfortable with Linux 	 Networking and Multiprocessing experience 	 Experience with AWS 	 Strong technical abilities, problem solving, design, coding and debugging skills 	 Fluent or Upper-Intermediate English 

 Desirable: 

 	 Elasticsearch, SOLR 	 Jenking. Gitlab CI. Basic usage 	 Azure. Google cloud 

 Personal skills: 

 	 Highly motivated and independent 	 Strong problem solver and out-of-the-box thinker 	 Ability to lead feature development, take full ownership of tasks from A-Z and deliver independently with minimum supervision 	 Strong communication abilities 	 Strong multi-tasking abilities 	 Great teammate with multi-tasking ability and good interpersonal skills  

 What`s in it for you? 

 	 Care: your mental and physical health is our priority. We ensure comprehensive company-paid medical insurance, Mental Health programs, as well as financial and legal consultations 	 Tailored education path: boost your skills and knowledge with our regular internal events (meetups, conferences, workshops), Udemy license, language courses and company-paid certifications 	 Growth environment: share your experience and level up your expertise with a community of skilled professionals, locally and globally 	 Own your schedule — you are the one to decide when to start your working day. Just don’t miss your regular team stand-up 	 Opportunities: we value our specialists and always find the best options for them. Our Internal Mobility Program helps change a project if needed to help you grow, excel professionally and fulfill your potential 	 Global impact: work on large-scale projects that redefine industries with international and fast-growing clients 	 Welcoming environment: feel empowered with a friendly team, open-door policy, informal atmosphere within the company and regular team-building events 

 About us: 

 Discover the pros of  20-year  global experience! Join one of the largest IT companies in Ukraine, awarded as one of the top 10 employers in Ukraine by Forbes. 

 Boost your skills and make a difference with cutting-edge projects, skilled colleagues and the latest tech stacks. 

 Ciklum has been recognised as a veteran-friendly business by the Veteran Hub in Ukraine. We're committed to creating a welcoming environment for veterans and developing processes that meet their needs. We value the skills and unique perspectives military veterans can bring to our business and are willing to support their transition to civilian life. 

 Be bold, not bored! 

 Interested already? We would love to get to know you! Submit your application. We can’t wait to see you at Ciklum."
Python Mentor,greater that 5 years,Evowill,віддалено,2 вересня,"Evowill is looking for a  Python Mentor  to join our team. If you want to share your knowledge with young developers who have just started their path in programming and you enjoy teaching or want to try yourself in this role, we would be happy to collaborate!   You are: An Engineer with 5+ years of experience in Backend or FullStack development; Patient, responsible, and organized person; Interested in teaching people and sharing knowledge; Like to learn new things the same as to teach; Proficient in writing clean and maintainable code; Enjoy helping people to grow technically and intellectually; Prefer to work remotely and flexibly (in the Ukrainian timezone).   We are: Ukrainian-Colombian team working with Python, Ruby, and JavaScript/React; Have several mentors who would like to onboard you and share their experience; People whose primary value is evolution.   Technical skills: Deep knowledge of Python, Django, and a basic understanding of FastAPI or other web frameworks; Experience with databases — relational and non-relational; Knowledge of OOP, SOLID, Design Patterns, and Microservices; Experience with containerisation (Docker); Knowledge of at least one cloud provider (AWS, GCP, or Azure); Understanding of Web Security, protocols, and standards (especially REST); Proficiency in testing (Pytest or Unittest); Knowledge of at least one CI tool (CircleCI or GitHub Actions); Confident with Linux or MacOS; Expertise in Git and GitFlow; Being aware of good practices, SDLC, Agile; English — Upper-Intermediate or Advanced.   We propose: Remote and flexible job; Work with an international team from Ukraine and Colombia; A part-time or full-time position; Professional growing; Supportive and collaborative work environment."
"Senior BigData Developer (Java OR Python, Spark, Hive, Hadoop)",greater that 5 years,Luxoft,,30 серпня,"only candidates who are in Ukraine Project Description: During the 2008 financial crisis, many big banks failed or faced issues due to liquidity issues. Lack of liquidity can kill any financial institution over the night. That’s why it’s so critical to constantly monitor liquidity risks and properly maintain collaterals. We are looking for a number of talented developers, who would like to join our team in Pune, which is building liquidity risk and collateral management platform for one of the biggest investment banks over the globe. The platform is a set of front-end tools and back-end engines. Our platform helps the bank to increase efficiency and scalability, reduce operational risk and eliminate the majority of manual interventions in processing margin calls. Responsibilities: The candidate will work on development of new functionality for Liqudity Risk platform closely with other teams over the globe. Mandatory Skills Description: - BigData experience (5 years+); — Java, J2EE, Spark, Hive; — SQL Databases; UNIX Shell; — Experience in Apache Hadoop, Spark, Hive, Impala; — Big Data Reporting, Querying and analysis. Nice-to-Have Skills Description: - Spark Calculators based on business logic/rules — Basic performance tuning and troubleshooting knowledge — Experience with all aspects of the SDLC — Experience with complex deployment infrastructures — Knowledge in software architecture, design and testing — Data flow automation (Apache NiFi, Airflow etc) — Understanding of difference between OOP and Functional design approach — Understanding of an event driven architecture — Spring, Maven, GIT, uDeploy; Languages: English: B2 Upper Intermediate"
Senior Python Engineer,greater that 5 years,DBB Software,Дніпро,2 вересня,"Role Overview We are searching for a talented  Senior Backend Engineer  to join our dynamic team. As a pivotal member of our growing startup, you’ll have the chance to significantly influence the development of our Security SaaS platform. About Us At DBBS, we are committed to securing the future of intelligent computing. As we advance toward a future dominated by AI-driven applications, we are laying the security groundwork that will enable this transformation. Our mission is to empower innovators, providing them with the confidence to explore and create in this evolving landscape. We collaborate with Fortune 500 companies, startups, and foundation model providers to safeguard their innovations and users from potential threats Key Responsibilities Collaborate closely with cross-functional teams, including frontend engineers, product managers, and DevOps, to deliver top-tier web applications tailored for cybersecurity professionals. Design, develop, test, and maintain scalable and efficient backend systems using Python and Flask. Optimize and manage our storage solutions, leveraging relational databases and key-value stores such as AWS RDS and Redis. Work with AWS ECS and EKS orchestration frameworks, crafting ECS task specifications and Kubernetes deployments using YAML, Terraform, and Helm. Build, test, and maintain RESTful APIs to support frontend applications and third-party integrations. Develop and maintain our AWS infrastructure with Terraform. Integrate third-party SaaS services like Auth0 for authentication and user management, and Stripe for billing processes. Set up and maintain observability components using OpenTelemetry, Prometheus, and Grafana. Participate in code reviews, providing and receiving constructive feedback to enhance code quality. Optimize applications for peak performance and scalability. Package and deploy applications using CI/CD pipelines and containerization. Qualifications Bachelor’s or Master’s degree in Computer Science or a related field. 6+ years of experience in backend development using Python and Flask (or FastAPI). 3+ years of experience in building backends for data analytics dashboards. 3+ years of experience in deploying and scaling backends on Kubernetes clusters. Strong understanding of relational databases, including schema design and optimization techniques. Proficiency in Python 3, with a solid grasp of type checking using Pyright. Deep knowledge of web application development, especially in Python, and request/response processing. Expertise in developing and integrating RESTful APIs. Experience with message queue services such as RabbitMQ or Kafka. Familiarity with modern backend technologies and infrastructure, particularly Kubernetes and AWS ECS. Understanding of microservices architecture. Experience with observability tools like OpenTelemetry, Prometheus, and Grafana. Hands-on experience with AWS services and scaling SaaS applications. Experience implementing end-to-end product features using feature flags. Skilled in measuring and optimizing backend performance. Experience with containerization technologies, including Docker. Experience collaborating with frontend engineers. Proficiency in Agile software development methodologies. Attention to detail and commitment to delivering high-quality work in a fast-paced environment. Excellent verbal and written communication skills in English. Technologies, Languages, and Frameworks Expert knowledge of Python, Flask, and FastAPI. Expert knowledge of SQL. Proficiency in Terraform, Kubernetes, OpenTelemetry, Prometheus, and Grafana. Familiarity with AWS services including EKS, ECS, CloudWatch, Lambda functions. Experience with message queue systems like RabbitMQ, Kafka. Knowledge of containerization with Docker. Familiarity with tools such as Celery, Pip/Poetry, Git, GitLab, GitLab CI/CD, and Sentry. Experience with load testing frameworks like Grafana k6 and unit testing frameworks like PyTest."
Senior Kotlin Backend Engineer,greater that 5 years,KITRUM,"Київ, Харків, віддалено",2 вересня,"🔍  We are looking for a  Senior Kotlin Backend Engineer  to join our team for a project that has transitioned from website building to helping customers build businesses by offering various services. As a Senior Kotlin Backend Engineer, you will be responsible for completing the migration of an existing system from Python to Kotlin. This system currently runs on Python 3.10 with Flask 1.1.2, and several modules have already been migrated to the new Kotlin codebase. Both codebases are running in production, and your task will be to finalize this migration. This remote position, ideally suited for candidates located in the  EEST or similar time zones 🎯 Must-Have for the position: — 5+ years of professional experience in Backend development; — At least 2 years of experience in  Kotlin Backend Engineering ; — Ability to modify frontend code at a very basic level (e.g., changing endpoint calls from Python APIs to Kotlin APIs); — Strong communication skills and a collaborative mindset; —  English Level:  Upper-Intermediate or higher. ☝️  Will be a strong plus: — Experience in Python and Flask; — Understanding of Kafka, Kubernetes, and AWS; — Basic exposure to front-end development or willingness to learn for minor changes. 🤝  Responsibilities: — Take end-to-end ownership of the migration project, working closely with the Project Lead and team; — Attend daily syncs and collaborate with the team to achieve expected outcomes; — Ensure seamless migration of the system from Python to Kotlin; 💼  A bit about the project: The client is a website builder platform that designed to help individuals and small businesses create professional websites without needing extensive technical knowledge or coding skills. It offers an intuitive drag-and-drop interface, customizable templates, and various tools for managing content, online stores, and SEO. Client’s country:  Germany Tech Stack:  Kotlin, Spring Boot, Python 3.10, Flask v1.1.2, PostgreSQL, Docker; Team Composition:  Project Lead + Developers. 📈  Working Conditions: —  Work schedule:  Flexible with CET timezone overlap —  Type of work:  Remote; —  Project duration:   3-6 months; —  Engagement Model:  Outstaff. 📋  Interview Process: —  HR Interview:  Initial discussion with our recruiter; —  KITRUM’s Technical Interview:  Technical questions; —  Client’s   Test Task : Technical challenge: can be either an offline task (like a coding assignment completed at home) or an online whiteboarding call; —  Client’s   Technical Interview : Pair Programming call: ~ 3 hours session where the candidate works directly with an interviewer on coding problems or tasks in a pair programming format. We want to make sure we are looking at culture fit, communications skills, etc. in this call; 💡 Why You’ll Love Working Here: —  Competitive Pay:  We offer a compensation that reflects your skills and experience; —  Remote Flexibility:  Work from anywhere — our team is distributed across the globe; —  Inclusive Culture:  We embrace diversity and foster a culture of trust, transparency, and mutual respect; 📲 If this vacancy isn’t for you but could be perfect for a friend/colleague, share it through this  link  and earn a reward for your referral!"
